network,mode,total_persons,total_persons_generated,unfinished_persons,completion_rate_pct,transit_riders,walk_only,transit_share_pct,rider_avg_travel_time,rider_avg_waiting_time,rider_avg_riding_time,rider_avg_ride_distance_km,rider_avg_walking_time,rider_avg_walking_distance_m,rider_avg_speed_kmh,rider_avg_time_loss,rider_avg_ride_time_loss,rider_avg_walk_time_loss,rider_avg_ride_waiting_time,walker_avg_travel_time,walker_avg_walking_time,walker_avg_walking_distance_m,walker_avg_speed_kmh,walker_avg_time_loss,walker_avg_walk_time_loss,all_avg_travel_time,all_avg_walking_time,all_avg_walking_distance_m,all_avg_speed_kmh,all_avg_time_loss,all_avg_walk_time_loss,bus_count,total_mileage_km,avg_mileage_km,total_customers,avg_customers_per_bus,drt_requests_served,occupied_distance_km,occupancy_rate_pct,vehicle_km,occupied_km,passenger_km,avg_occupancy_pax_per_veh,max_onboard,max_onboard_vehicle_id,km_per_passenger
5x5_DRT30,drt,234,234,0,100.0,234,0,100.0,699.9401709401709,353.6794871794872,346.2606837606838,2.2086410683760684,0.0,0.0,11.64467128592545,149.28764957264957,149.28764957264957,0.0,0,0,0,0,0,0,0,699.9401709401709,0.0,0.0,11.64467128592545,149.28764957264957,0.0,30,351.58399000000003,11.719466333333335,234,7.8,234,268.50585,76.37032903574476,351.58399000000003,268.50585,516.8220100000001,1.9248072621136563,6,odVan11,1.502495683760684
5x5_FixedLow,fixed,35,35,0,100.0,29,6,82.85714285714286,1048.1724137931035,227.0,190.51724137931035,0.6902186206896551,661.5862068965517,762.3058620689654,4.9840522175802215,184.62931034482756,87.99793103448278,96.63206896551723,0,727.8333333333334,727.8333333333334,837.3283333333334,4.15522619321185,108.50333333333333,108.50333333333333,993.2571428571429,672.9428571428572,775.1668571428571,4.84196775625993,171.57914285714284,98.66714285714285,66,95.02433,1.4397625757575758,29,0.4393939393939394,29,16.459849999999996,17.321721710639785,95.02433,16.459849999999996,20.01634,0.2106443686580058,2,f_trunk_h_lr.3,3.276701034482759
5x5_FixedLow,fixed,33,33,0,100.0,27,6,81.81818181818183,945.3703703703703,204.62962962962962,148.40740740740742,0.5370670370370371,623.1111111111111,752.4962962962964,5.031732004302905,171.6714814814815,78.63777777777777,93.03259259259261,0,641.0,641.0,792.0099999999999,4.5417308877799005,86.86500000000001,86.86500000000001,890.030303030303,626.3636363636364,759.680606060606,4.942640892207814,156.2521212121212,91.91121212121212,66,95.87614,1.452668787878788,30,0.45454545454545453,30,11.419389999999998,11.910565026919103,95.87614,11.419389999999998,14.500810000000001,0.15124524203832154,3,f_trunk_v_bt.4,3.1958713333333337
5x5_FixedLow,fixed,21,22,1,95.45454545454545,14,7,66.66666666666666,981.0,224.71428571428572,166.71428571428572,0.6071935714285713,619.5,762.6042857142855,5.044525486461279,172.81928571428574,82.29642857142856,90.52714285714285,0,744.7142857142857,744.7142857142857,870.1714285714286,4.19373971839937,106.7957142857143,106.7957142857143,902.2380952380952,661.2380952380952,798.46,4.760930230440643,150.81142857142856,95.95,66,96.78525,1.4664431818181818,16,0.24242424242424243,16,8.711189999999998,9.00053468891179,96.78525,8.711189999999998,9.250770000000001,0.09558036994273404,2,f_trunk_h_rl.11,6.049078125
5x5_FixedLow,fixed,59,59,0,100.0,46,13,77.96610169491525,1052.9782608695652,252.2608695652174,163.19565217391303,0.6090656521739131,669.1086956521739,766.1978260869566,4.7317112380655075,176.93239130434782,79.53000000000002,97.40499999999999,0,752.7692307692307,752.7692307692307,883.9584615384616,4.293406858824941,114.78923076923077,114.78923076923077,986.8305084745763,687.542372881356,792.1450847457627,4.635135696876908,163.23983050847457,101.23542372881356,66,95.70067,1.4500101515151516,51,0.7727272727272727,51,20.572010000000002,21.496202691161933,95.70067,20.572010000000002,28.01702,0.29275678007269956,4,f_trunk_h_lr.5,1.876483725490196
5x5_FixedLow,fixed,63,64,1,98.4375,47,16,74.60317460317461,942.1276595744681,193.3404255319149,146.36170212765958,0.5106663829787235,635.5957446808511,759.4755319148936,4.918849755556898,174.67382978723404,78.96595744680852,95.71063829787234,0,703.0,703.0,848.755625,4.445216464870262,100.99812500000002,100.99812500000002,881.3968253968254,652.7142857142857,782.1498412698413,4.798561935699976,155.96253968253967,97.05349206349206,66,96.78526000000001,1.4664433333333335,49,0.7424242424242424,49,16.528999999999996,17.07801373886891,96.78526000000001,16.528999999999996,24.75132,0.25573439591937863,3,f_trunk_h_lr.11,1.9752093877551022
5x5_FixedLow,fixed,63,63,0,100.0,47,16,74.60317460317461,969.7234042553191,227.19148936170214,156.5744680851064,0.5479019148936171,622.4893617021277,723.4053191489361,4.802724749201637,180.94510638297874,83.30659574468088,97.63872340425532,0,719.25,719.25,894.7049999999999,4.493170703277282,94.14125,94.14125,906.1111111111111,647.063492063492,766.9100000000001,4.72410784864942,158.89968253968254,96.75047619047619,66,93.02294,1.4094384848484849,50,0.7575757575757576,50,18.46752,19.8526513997515,93.02294,18.46752,25.75139,0.276828382332358,3,f_trunk_h_lr.4,1.8604588000000002
5x5_FixedLow,fixed,102,102,0,100.0,71,31,69.6078431372549,1034.4366197183099,250.57746478873239,169.2394366197183,0.6023663380281689,647.1830985915493,764.3785915492957,4.759708232826933,182.12070422535214,86.11084507042254,96.01183098591547,0,695.0645161290323,695.0645161290323,828.6100000000001,4.353543691593493,97.75774193548385,97.75774193548385,931.2941176470588,661.7352941176471,783.8999019607843,4.636266068334416,156.48098039215685,96.54245098039216,66,94.26372,1.428238181818182,77,1.1666666666666667,77,27.140169999999998,28.791745116785115,94.26372,27.140169999999998,42.76801,0.45370594328337555,4,f_trunk_h_lr.9,1.2242041558441559
5x5_FixedLow,fixed,94,94,0,100.0,69,25,73.40425531914893,979.8985507246376,199.2753623188406,161.97101449275362,0.5616317391304347,650.9565217391304,746.2768115942029,4.924527627448842,183.4391304347826,86.26971014492754,97.17115942028985,0,727.72,727.72,862.7259999999999,4.35496599305766,102.01520000000001,102.01520000000001,912.8297872340426,671.3723404255319,777.2473404255319,4.773048469366082,161.78382978723405,98.4594680851064,66,93.16607,1.4116071212121213,74,1.121212121212121,74,24.27511000000001,26.0557411083241,93.16607,24.27511000000001,38.75259,0.41595175153357866,5,f_trunk_h_lr.10,1.259000945945946
5x5_FixedLow,fixed,80,80,0,100.0,63,17,78.75,919.5555555555555,198.63492063492063,152.06349206349208,0.5436836507936508,599.2857142857143,695.5025396825398,4.956523860799567,168.71873015873018,79.10460317460321,89.615873015873,0,662.9411764705883,662.9411764705883,811.9111764705882,4.4503908702626145,93.99352941176471,93.99352941176471,865.025,612.8125,720.239375,4.848970600310466,152.839625,90.54612499999999,66,93.89601,1.4226668181818183,66,1.0,66,20.846850000000003,22.20206162114876,93.89601,20.846850000000003,34.252069999999996,0.3647872790334754,4,f_trunk_h_rl.10,1.4226668181818183
5x5_FixedLow,fixed,148,149,1,99.32885906040268,107,41,72.2972972972973,997.196261682243,213.83177570093457,163.6728971962617,0.5772729906542056,651.8411214953271,769.9660747663551,4.949139756083366,181.9441121495327,84.9285046728972,97.01663551401867,0,708.9512195121952,708.9512195121952,864.8614634146342,4.429754818015562,99.63585365853659,99.63585365853659,917.3445945945946,667.6621621621622,796.2546621621622,4.805256090807826,159.1425,97.74222972972973,66,96.78527000000001,1.466443484848485,116,1.7575757575757576,116,28.143949999999993,29.078753409480584,96.78527000000001,28.143949999999993,62.518260000000005,0.6459480869351296,7,f_trunk_v_tb.5,0.8343557758620691
5x5_FixedLow,fixed,132,132,0,100.0,95,37,71.96969696969697,946.6947368421053,195.33684210526314,159.83157894736843,0.5658228421052631,616.021052631579,735.3852631578947,5.040058836401714,171.09905263157896,85.03978947368422,86.06063157894738,0,751.5675675675676,751.5675675675676,909.081081081081,4.3899350597897815,111.46378378378378,111.46378378378378,892.0,654.0151515151515,784.0727272727273,4.857827171745339,154.38310606060605,93.18121212121213,66,93.38039,1.414854393939394,108,1.6363636363636365,108,25.69566,27.517190707813494,93.38039,25.69566,53.75317000000001,0.5756365977910353,11,f_trunk_v_bt.11,0.8646332407407408
5x5_FixedLow,fixed,132,136,4,97.05882352941177,96,36,72.72727272727273,920.4895833333334,209.04166666666666,151.97916666666666,0.5443002083333335,589.53125,697.8708333333334,4.940785323192927,167.6190625,78.71708333333333,88.90291666666667,0,748.1111111111111,748.1111111111111,900.5652777777777,4.37184283978619,103.13555555555556,103.13555555555556,873.4772727272727,632.780303030303,753.1511363636364,4.7856191913547255,150.0326515151515,92.78454545454545,66,96.31660000000001,1.4593424242424244,105,1.5909090909090908,105,29.11568,30.229140148219518,96.31660000000001,29.11568,55.00303000000001,0.5710649046997092,4,f_trunk_h_lr.5,0.9173009523809524
5x5_FixedHigh,fixed,149,149,0,100.0,137,12,91.94630872483222,901.8175182481751,221.67883211678833,187.14598540145985,0.6625603649635037,518.3576642335767,614.3227737226277,5.168167172109882,174.23788321167882,97.60861313868614,76.63021897810219,0,631.9166666666666,631.9166666666666,774.2449999999999,4.493477722934376,89.85666666666667,89.85666666666667,880.0805369127517,527.503355704698,627.2024161073825,5.113829766807157,167.44208053691275,77.69543624161075,194,212.33404000000002,1.0945053608247424,172,0.8865979381443299,172,60.433719999999994,28.46162584199876,212.33404000000002,60.433719999999994,90.77076999999998,0.4274904297021805,4,f_trunk_hrow2_rl.8,1.2345002325581396
5x5_FixedHigh,fixed,132,132,0,100.0,119,13,90.15151515151516,879.5798319327731,220.89915966386553,179.109243697479,0.6449997478991595,501.33613445378154,596.5095798319327,5.176370651962783,166.11731092436975,94.34714285714287,71.77176470588238,0,636.5384615384615,636.5384615384615,774.5830769230768,4.374470060058078,95.73384615384614,95.73384615384614,855.6439393939394,514.6515151515151,614.0471212121212,5.0973955936691375,159.18560606060606,74.13166666666666,194,212.76077000000004,1.0967050000000003,155,0.7989690721649485,155,51.66341000000001,24.282394729065892,212.76077000000004,51.66341000000001,76.75497,0.36075715462018676,5,f_trunk_v_bt.11,1.3726501290322584
5x5_FixedHigh,fixed,136,136,0,100.0,122,14,89.70588235294117,866.7213114754098,222.98360655737704,172.97540983606558,0.618892868852459,493.91803278688525,588.2769672131147,5.06858201062969,163.55721311475406,91.29729508196722,72.26098360655737,0,664.0714285714286,664.0714285714286,820.5414285714287,4.481753219506238,87.72285714285712,87.72285714285712,845.8602941176471,511.43382352941177,612.186544117647,5.008173164484628,155.75073529411765,73.85264705882352,194,217.78202000000005,1.1225877319587632,151,0.7783505154639175,151,54.09937,24.84106355520074,217.78202000000005,54.09937,75.50492999999999,0.3466995576586165,5,f_trunk_vcol2_bt.10,1.442265033112583
5x5_FixedHigh,fixed,181,181,0,100.0,171,10,94.47513812154696,913.0292397660819,230.58479532163742,184.10526315789474,0.658022865497076,523.7251461988304,615.9953801169592,5.095723834944104,172.92473684210526,94.94005847953215,77.98584795321638,0,579.7,579.7,729.034,4.591998342931874,80.09299999999999,80.09299999999999,894.6132596685082,526.817679558011,622.2406077348066,5.06789369726387,167.79591160220994,78.10226519337017,194,216.55914,1.1162842268041238,212,1.092783505154639,212,65.99492000000001,30.474317546698792,216.55914,65.99492000000001,112.52191,0.5195897527114303,5,f_trunk_hrow4_rl.6,1.0215053773584906
5x5_FixedHigh,fixed,170,170,0,100.0,155,15,91.17647058823529,872.483870967742,225.7483870967742,166.1741935483871,0.5967395483870968,503.3741935483871,599.6630967741935,5.008790216466386,161.1285806451613,87.77232258064515,73.35767741935484,0,604.6666666666666,604.6666666666666,735.5740000000001,4.427512741453687,90.89666666666668,90.89666666666668,848.8529411764706,512.3117647058823,611.6552352941177,4.9575010274946765,154.93164705882353,74.90523529411765,194,212.04170000000005,1.0929984536082478,187,0.9639175257731959,187,62.310690000000015,29.386054724141523,212.04170000000005,62.310690000000015,92.49463,0.43620962291851073,5,f_trunk_h_rl.10,1.1339128342245992
5x5_FixedHigh,fixed,185,185,0,100.0,170,15,91.8918918918919,874.7,215.54117647058823,178.2,0.6265113529411764,504.66470588235296,599.2332941176471,5.171044975989916,169.80200000000002,95.66317647058824,74.13982352941177,0,653.2666666666667,653.2666666666667,770.7646666666667,4.318706719416752,84.96466666666669,84.96466666666669,856.7459459459459,516.7135135135135,613.1412432432433,5.101936468700201,162.9232972972973,75.0175135135135,194,215.91920000000002,1.1129855670103093,214,1.1030927835051547,214,68.24442000000002,31.60646204691385,215.91920000000002,68.24442000000002,106.50693,0.49327215921511375,5,f_trunk_h_lr.5,1.0089682242990654
5x5_FixedHigh,fixed,227,227,0,100.0,205,22,90.30837004405286,886.2243902439025,219.51707317073172,179.65365853658537,0.6464539024390243,509.5170731707317,597.4941951219512,5.121785953459722,167.34663414634144,93.39165853658537,73.95570731707318,0,656.7272727272727,656.7272727272727,763.9586363636364,4.224186868040299,86.16045454545454,86.16045454545454,863.9823788546255,523.784140969163,613.6273127753303,5.034793971612906,159.47837004405284,75.13854625550661,182,203.13471,1.1161247802197802,259,1.4230769230769231,259,75.93829000000001,37.38321727488129,203.13471,75.93829000000001,132.52304999999998,0.6523899829822287,7,f_trunk_hrow2_rl.6,0.7843038996138997
